,frac_year,smoothed_uth_anomaly_tropics_all,smoothed_uth_anomaly_tropics_land,smoothed_uth_anomaly_tropics_ocean,smoothed_surface_temperature_anomaly_tropics_all,smoothed_land_surface_temperature_anomaly_tropics,smoothed_sea_surface_temperature_anomaly_tropics,sea_surface_temperature_anomaly_enso_1+2,sea_surface_temperature_anomaly_enso_3,sea_surface_temperature_anomaly_enso_3.4,sea_surface_temperature_anomaly_enso_4
0,1979.042,-0.0308333362142245,-0.1149999996026357,0.015833331582446892,-0.1585870167565749,-0.22904156881664997,-0.13377646794394593,0.10883430032168917,-0.19947078929226336,0.05463149126836697,0.2667735380284739
1,1979.125,-0.0833333358168602,-0.1541666661699613,-0.037500000558793545,-0.14738197932167907,-0.15963696676586872,-0.1326422312903001,-0.8053861730239191,-0.36516651826747193,0.15483075310203276,0.555224968405355
2,1979.208,-0.13083333522081375,-0.17833333214124045,-0.09166666523863871,-0.12483711848183532,-0.08997296530102498,-0.12001812647259176,-0.6631954417509291,-0.2433453728170889,0.2507941750919258,0.39650627585018583
3,1979.292,-0.1350000019495686,-0.20416666567325592,-0.08499999872098367,-0.09922269790891865,-0.0381261431981604,-0.09736899724082093,0.46650139303767446,0.03230016371782085,0.3955365349264639,0.5463752297794144
4,1979.375,-0.16000000294297934,-0.21333333229025206,-0.11166666479160388,-0.06794726659381449,0.028928605336995854,-0.0726904490637376,0.2115467744715147,0.04120483398435226,0.2669900333179953,0.20930032169115975
5,1979.458,-0.1766666698579987,-0.14833333467443785,-0.14999999882032475,-0.04368324885292907,0.11587318541512086,-0.05654410710410218,0.6704392377067734,-0.29548196231615975,-0.10409258674172861,0.19009614832259558
6,1979.542,-0.1375000032906731,0.03416667009393374,-0.15833333227783442,-0.03210945734902282,0.07783556741381877,-0.040631733243425096,0.5642114975873369,-0.44428351907168917,-0.31471126780792247,0.11680513269760695
7,1979.625,-0.30000000229726237,-0.23416666562358537,-0.26083333138376474,-0.02712746272011657,0.04154762389168335,-0.02728792220826885,0.663318230124105,0.2154774385339806,0.19389756146597392,-0.025648767807922468
8,1979.708,-0.442500000509123,-0.2875000076989333,-0.43916666849205893,-0.02105446467324157,0.01742602151538127,-0.01671103825644593,0.5943398868336658,0.3782237333409739,0.36377635282627807,-0.07269323012405948
9,1979.792,-0.5441666645929217,-0.4775000053147475,-0.5183333335444331,-0.0015104990156894853,0.04566495380704794,-0.0008953033931646814,0.4561832203584686,0.21656494140626137,0.21561602424173998,0.3203710219439131
10,1979.875,-0.4433333305642009,-0.35333333909511566,-0.44500000091890496,0.01687888493613343,0.11022743346199586,0.012125529940168652,0.41068366555606417,0.11932767980238168,0.20166338752295587,0.1944867302389639
11,1979.958,-0.46333333135892946,-0.4875000019868215,-0.4108333345502615,0.039517841641862596,0.17334795755053753,0.02415962824746032,0.5458646886489191,0.1946482938878944,0.4364049574908222,0.4036832921645441
12,1980.042,-0.49166666250675917,-0.40166666513929766,-0.48166666862865287,0.04846457829550843,0.19204251728361044,0.03116341242714782,0.23807624368106417,0.24513980641086164,0.635319967830867,0.5857127470128489
13,1980.125,-0.4783333294714491,-0.36249999857197207,-0.4775000009685755,0.05046347966269593,0.2007196819971521,0.03399391779824157,-0.10598431755516913,-0.08223805147059693,0.35414105583640776,0.613513542624105
14,1980.208,-0.4441666631028056,-0.33666666597127914,-0.4358333367854357,0.050336323087175096,0.1958979046534021,0.03774757990761657,0.6283084644990709,0.0209673713235361,0.2402961282169258,0.39980217428768583
15,1980.292,-0.46916666254401207,-0.30166666582226753,-0.48583333504696685,0.053174457852800096,0.19929298521980834,0.03652687678261657,0.6732274672564245,0.18961827895219585,0.3061200310202139,0.26951976102941444
16,1980.375,-0.4308333285152912,-0.3733333349227905,-0.4116666695723931,0.04433453272259177,0.18115282815600628,0.0277886769128249,0.2427662568933897,0.06696166992185226,0.05712064855237031,0.08335427676928475
17,1980.458,-0.3983333284656207,-0.46916666626930237,-0.3458333344509204,0.04212963770306052,0.19752042255704794,0.0228906056237624,0.4006028119255234,-0.001689237706784752,0.00720502068014639,0.03607393152572058
18,1980.542,-0.40666666130224866,-0.7091666708389918,-0.2758333335320155,0.03338889470175843,0.1997710939437667,0.008145529126366569,-0.020444264131413092,-0.36701301125918917,-0.40315120921417247,-0.16578764073989305
19,1980.625,-0.2966666618982951,-0.46833333869775134,-0.2266666665673256,0.0029552399166021814,0.11280871194506877,-0.015408954923112598,-0.15711634018839504,-0.3406138700597694,-0.4591786104090261,-0.13505428538604747
20,1980.708,-0.21749999125798544,-0.2599999997764826,-0.20416665822267532,-0.02100614517454365,0.05311124286954794,-0.03895072331503968,-0.2242636287913342,-0.0010182100184010778,-0.05562672334559693,0.011687873391565518
21,1980.792,-0.12583332788199186,-0.20083333489795527,-0.09583332637945811,-0.044024028475324904,0.020170060415120854,-0.058072529141862596,-0.2809993968290314,-0.36326904296873863,-0.21385785271138502,-0.1828638413373369
22,1980.875,-0.26249999335656565,-0.23833333514630795,-0.26583332816759747,-0.06050860692584573,-0.007344079396077063,-0.07344067285931051,-0.34841057272518583,-0.16720186121324332,-0.18789349724266913,-0.1866167853860361
23,1980.958,-0.203333324752748,-0.15000000409781933,-0.23416666174307466,-0.07382698664589782,-0.0432225787450354,-0.07755291651165426,-0.3667634851792059,-0.2645802217371056,-0.2683985093060528,-0.19470537971045587
24,1981.042,-0.14083332661539316,-0.14583333736906448,-0.16583332776402435,-0.08677661229693949,-0.05952150859529581,-0.0866827586340501,-1.0996617934283108,-1.1302264045266384,-0.993433694278508,-0.4173390107996511
